,RunId,iteration,Step,jury_or_televoting,year,mu,sigma,ks
88,88,0,1,T,2021,-0.060000000000000005,0.025,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
89,89,0,1,T,2021,-0.060000000000000005,0.015,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
90,90,0,1,T,2021,-0.060000000000000005,0.035,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
91,91,0,1,T,2021,-0.060000000000000005,0.04,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
92,92,0,1,T,2021,-0.060000000000000005,0.045,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
93,93,0,1,T,2021,-0.060000000000000005,0.03,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
94,94,0,1,T,2021,-0.060000000000000005,0.05,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
95,95,0,1,T,2021,-0.060000000000000005,0.055,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
96,96,0,1,T,2021,-0.060000000000000005,0.06,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
97,97,0,1,T,2021,-0.060000000000000005,0.065,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
98,98,0,1,T,2021,-0.060000000000000005,0.07,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
99,99,0,1,T,2021,-0.060000000000000005,0.085,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
100,100,0,1,T,2021,-0.060000000000000005,0.075,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
101,101,0,1,T,2021,-0.060000000000000005,0.08,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
102,102,0,1,T,2021,-0.060000000000000005,0.09,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
103,103,0,1,T,2021,-0.060000000000000005,0.095,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
104,104,0,1,T,2021,-0.060000000000000005,0.1,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
105,105,0,1,T,2021,-0.05,0.005,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
106,106,0,1,T,2021,-0.05,0.015,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
107,107,0,1,T,2021,-0.05,0.01,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
108,108,0,1,T,2021,-0.05,0.0,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
109,109,0,1,T,2021,-0.05,0.025,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
110,110,0,1,T,2021,-0.05,0.02,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
111,111,0,1,T,2021,-0.05,0.03,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
112,112,0,1,T,2021,-0.05,0.035,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
113,113,0,1,T,2021,-0.05,0.04,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
114,114,0,1,T,2021,-0.05,0.045,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
115,115,0,1,T,2021,-0.05,0.05,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
116,116,0,1,T,2021,-0.05,0.055,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
117,117,0,1,T,2021,-0.05,0.06,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
118,118,0,1,T,2021,-0.05,0.07,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
119,119,0,1,T,2021,-0.05,0.065,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
120,120,0,1,T,2021,-0.05,0.08,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
121,121,0,1,T,2021,-0.05,0.085,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
122,122,0,1,T,2021,-0.05,0.075,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
123,123,0,1,T,2021,-0.05,0.09,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
124,124,0,1,T,2021,-0.05,0.1,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
125,125,0,1,T,2021,-0.04000000000000001,0.005,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
126,126,0,1,T,2021,-0.05,0.095,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
127,127,0,1,T,2021,-0.04000000000000001,0.0,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
128,128,0,1,T,2021,-0.04000000000000001,0.015,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
129,129,0,1,T,2021,-0.04000000000000001,0.025,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
130,130,0,1,T,2021,-0.04000000000000001,0.02,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
131,131,0,1,T,2021,-0.04000000000000001,0.04,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
132,132,0,1,T,2021,-0.04000000000000001,0.035,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
133,133,0,1,T,2021,-0.04000000000000001,0.045,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
134,134,0,1,T,2021,-0.04000000000000001,0.05,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
135,135,0,1,T,2021,-0.04000000000000001,0.055,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
136,136,0,1,T,2021,-0.04000000000000001,0.03,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
137,137,0,1,T,2021,-0.04000000000000001,0.06,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
138,138,0,1,T,2021,-0.04000000000000001,0.07,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
139,139,0,1,T,2021,-0.04000000000000001,0.075,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
140,140,0,1,T,2021,-0.04000000000000001,0.065,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
141,141,0,1,T,2021,-0.04000000000000001,0.01,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
142,142,0,1,T,2021,-0.04000000000000001,0.085,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
143,143,0,1,T,2021,-0.04000000000000001,0.08,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
144,144,0,1,T,2021,-0.04000000000000001,0.095,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
145,145,0,1,T,2021,-0.04000000000000001,0.09,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
146,146,0,1,T,2021,-0.03,0.0,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
147,147,0,1,T,2021,-0.04000000000000001,0.1,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
148,148,0,1,T,2021,-0.03,0.01,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
149,149,0,1,T,2021,-0.03,0.02,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
150,150,0,1,T,2021,-0.03,0.005,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
151,151,0,1,T,2021,-0.03,0.015,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
152,152,0,1,T,2021,-0.03,0.045,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
153,153,0,1,T,2021,-0.03,0.03,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
154,154,0,1,T,2021,-0.03,0.04,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
155,155,0,1,T,2021,-0.03,0.035,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
156,156,0,1,T,2021,-0.03,0.025,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
157,157,0,1,T,2021,-0.03,0.05,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
158,158,0,1,T,2021,-0.03,0.06,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
159,159,0,1,T,2021,-0.03,0.055,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
160,160,0,1,T,2021,-0.03,0.07,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
161,161,0,1,T,2021,-0.03,0.065,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
162,162,0,1,T,2021,-0.03,0.08,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
163,163,0,1,T,2021,-0.03,0.075,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
164,164,0,1,T,2021,-0.03,0.095,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
165,165,0,1,T,2021,-0.03,0.085,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
166,166,0,1,T,2021,-0.03,0.1,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
167,167,0,1,T,2021,-0.020000000000000004,0.01,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
168,168,0,1,T,2021,-0.03,0.09,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
169,169,0,1,T,2021,-0.020000000000000004,0.015,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
170,170,0,1,T,2021,-0.020000000000000004,0.005,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
171,171,0,1,T,2021,-0.020000000000000004,0.025,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
172,172,0,1,T,2021,-0.020000000000000004,0.0,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
173,173,0,1,T,2021,-0.020000000000000004,0.03,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
174,174,0,1,T,2021,-0.020000000000000004,0.02,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
175,175,0,1,T,2021,-0.020000000000000004,0.035,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
176,176,0,1,T,2021,-0.020000000000000004,0.04,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
177,177,0,1,T,2021,-0.020000000000000004,0.05,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
178,178,0,1,T,2021,-0.020000000000000004,0.055,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
179,179,0,1,T,2021,-0.020000000000000004,0.045,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
180,180,0,1,T,2021,-0.020000000000000004,0.06,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
181,181,0,1,T,2021,-0.020000000000000004,0.065,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
182,182,0,1,T,2021,-0.020000000000000004,0.075,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
183,183,0,1,T,2021,-0.020000000000000004,0.07,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
184,184,0,1,T,2021,-0.020000000000000004,0.085,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
185,185,0,1,T,2021,-0.020000000000000004,0.09,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
186,186,0,1,T,2021,-0.020000000000000004,0.095,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
187,187,0,1,T,2021,-0.020000000000000004,0.1,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
188,188,0,1,T,2021,-0.010000000000000009,0.0,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
189,189,0,1,T,2021,-0.020000000000000004,0.08,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
190,190,0,1,T,2021,-0.010000000000000009,0.005,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
191,191,0,1,T,2021,-0.010000000000000009,0.01,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
192,192,0,1,T,2021,-0.010000000000000009,0.02,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
193,193,0,1,T,2021,-0.010000000000000009,0.015,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
194,194,0,1,T,2021,-0.010000000000000009,0.03,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
195,195,0,1,T,2021,-0.010000000000000009,0.025,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
196,196,0,1,T,2021,-0.010000000000000009,0.035,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
197,197,0,1,T,2021,-0.010000000000000009,0.05,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
198,198,0,1,T,2021,-0.010000000000000009,0.045,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
199,199,0,1,T,2021,-0.010000000000000009,0.055,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
200,200,0,1,T,2021,-0.010000000000000009,0.04,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
201,201,0,1,T,2021,-0.010000000000000009,0.065,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
