,Unnamed: 0,Year,(semi-) final,Edition,Jury or Televoting,From country,To country,Points      ,Duplicate
41195,41195,2017,sf1,2017sf1,J,Georgia,Greece,0,
41196,41196,2017,sf1,2017sf1,J,Georgia,Iceland,2,
41197,41197,2017,sf1,2017sf1,J,Georgia,Latvia,0,
41198,41198,2017,sf1,2017sf1,J,Georgia,Moldova,3,
41199,41199,2017,sf1,2017sf1,J,Georgia,Montenegro,0,
41200,41200,2017,sf1,2017sf1,J,Georgia,Poland,0,
41201,41201,2017,sf1,2017sf1,J,Georgia,Portugal,12,
41202,41202,2017,sf1,2017sf1,J,Georgia,Slovenia,4,
41203,41203,2017,sf1,2017sf1,J,Georgia,Sweden,8,
41204,41204,2017,sf1,2017sf1,J,Greece,Albania,10,
41205,41205,2017,sf1,2017sf1,J,Greece,Armenia,12,
41206,41206,2017,sf1,2017sf1,J,Greece,Australia,0,
41207,41207,2017,sf1,2017sf1,J,Greece,Azerbaijan,8,
41208,41208,2017,sf1,2017sf1,J,Greece,Belgium,1,
41209,41209,2017,sf1,2017sf1,J,Greece,Cyprus,6,
41210,41210,2017,sf1,2017sf1,J,Greece,Czech Republic,0,
41211,41211,2017,sf1,2017sf1,J,Greece,Finland,0,
41212,41212,2017,sf1,2017sf1,J,Greece,Georgia,4,
41213,41213,2017,sf1,2017sf1,J,Greece,Greece,0,x
41214,41214,2017,sf1,2017sf1,J,Greece,Iceland,0,
41215,41215,2017,sf1,2017sf1,J,Greece,Latvia,0,
41216,41216,2017,sf1,2017sf1,J,Greece,Moldova,3,
41217,41217,2017,sf1,2017sf1,J,Greece,Montenegro,7,
41218,41218,2017,sf1,2017sf1,J,Greece,Poland,0,
41219,41219,2017,sf1,2017sf1,J,Greece,Portugal,5,
41220,41220,2017,sf1,2017sf1,J,Greece,Slovenia,0,
41221,41221,2017,sf1,2017sf1,J,Greece,Sweden,2,
41222,41222,2017,sf1,2017sf1,J,Iceland,Albania,0,
41223,41223,2017,sf1,2017sf1,J,Iceland,Armenia,0,
41224,41224,2017,sf1,2017sf1,J,Iceland,Australia,10,
41225,41225,2017,sf1,2017sf1,J,Iceland,Azerbaijan,6,
41226,41226,2017,sf1,2017sf1,J,Iceland,Belgium,2,
41227,41227,2017,sf1,2017sf1,J,Iceland,Cyprus,4,
41228,41228,2017,sf1,2017sf1,J,Iceland,Czech Republic,5,
41229,41229,2017,sf1,2017sf1,J,Iceland,Finland,3,
41230,41230,2017,sf1,2017sf1,J,Iceland,Georgia,7,
41231,41231,2017,sf1,2017sf1,J,Iceland,Greece,1,
41232,41232,2017,sf1,2017sf1,J,Iceland,Iceland,0,x
41233,41233,2017,sf1,2017sf1,J,Iceland,Latvia,0,
41234,41234,2017,sf1,2017sf1,J,Iceland,Moldova,0,
41235,41235,2017,sf1,2017sf1,J,Iceland,Montenegro,0,
41236,41236,2017,sf1,2017sf1,J,Iceland,Poland,0,
41237,41237,2017,sf1,2017sf1,J,Iceland,Portugal,12,
41238,41238,2017,sf1,2017sf1,J,Iceland,Slovenia,0,
41239,41239,2017,sf1,2017sf1,J,Iceland,Sweden,8,
41240,41240,2017,sf1,2017sf1,J,Italy,Albania,8,
41241,41241,2017,sf1,2017sf1,J,Italy,Armenia,6,
41242,41242,2017,sf1,2017sf1,J,Italy,Australia,1,
41243,41243,2017,sf1,2017sf1,J,Italy,Azerbaijan,12,
41244,41244,2017,sf1,2017sf1,J,Italy,Belgium,5,
41245,41245,2017,sf1,2017sf1,J,Italy,Cyprus,3,
41246,41246,2017,sf1,2017sf1,J,Italy,Czech Republic,0,
41247,41247,2017,sf1,2017sf1,J,Italy,Finland,0,
41248,41248,2017,sf1,2017sf1,J,Italy,Georgia,2,
41249,41249,2017,sf1,2017sf1,J,Italy,Greece,0,
41250,41250,2017,sf1,2017sf1,J,Italy,Iceland,0,
41251,41251,2017,sf1,2017sf1,J,Italy,Latvia,0,
41252,41252,2017,sf1,2017sf1,J,Italy,Moldova,7,
41253,41253,2017,sf1,2017sf1,J,Italy,Montenegro,0,
41254,41254,2017,sf1,2017sf1,J,Italy,Poland,0,
41255,41255,2017,sf1,2017sf1,J,Italy,Portugal,4,
41256,41256,2017,sf1,2017sf1,J,Italy,Slovenia,0,
41257,41257,2017,sf1,2017sf1,J,Italy,Sweden,10,
41258,41258,2017,sf1,2017sf1,J,Latvia,Albania,0,
41259,41259,2017,sf1,2017sf1,J,Latvia,Armenia,4,
41260,41260,2017,sf1,2017sf1,J,Latvia,Australia,10,
41261,41261,2017,sf1,2017sf1,J,Latvia,Azerbaijan,1,
41262,41262,2017,sf1,2017sf1,J,Latvia,Belgium,5,
41263,41263,2017,sf1,2017sf1,J,Latvia,Cyprus,0,
41264,41264,2017,sf1,2017sf1,J,Latvia,Czech Republic,7,
41265,41265,2017,sf1,2017sf1,J,Latvia,Finland,0,
41266,41266,2017,sf1,2017sf1,J,Latvia,Georgia,0,
41267,41267,2017,sf1,2017sf1,J,Latvia,Greece,0,
41268,41268,2017,sf1,2017sf1,J,Latvia,Iceland,8,
41269,41269,2017,sf1,2017sf1,J,Latvia,Latvia,0,x
41270,41270,2017,sf1,2017sf1,J,Latvia,Moldova,6,
41271,41271,2017,sf1,2017sf1,J,Latvia,Montenegro,0,
41272,41272,2017,sf1,2017sf1,J,Latvia,Poland,3,
41273,41273,2017,sf1,2017sf1,J,Latvia,Portugal,12,
41274,41274,2017,sf1,2017sf1,J,Latvia,Slovenia,0,
41275,41275,2017,sf1,2017sf1,J,Latvia,Sweden,2,
41276,41276,2017,sf1,2017sf1,J,Moldova,Albania,0,
41277,41277,2017,sf1,2017sf1,J,Moldova,Armenia,10,
41278,41278,2017,sf1,2017sf1,J,Moldova,Australia,6,
41279,41279,2017,sf1,2017sf1,J,Moldova,Azerbaijan,4,
41280,41280,2017,sf1,2017sf1,J,Moldova,Belgium,0,
41281,41281,2017,sf1,2017sf1,J,Moldova,Cyprus,0,
41282,41282,2017,sf1,2017sf1,J,Moldova,Czech Republic,0,
41283,41283,2017,sf1,2017sf1,J,Moldova,Finland,3,
41284,41284,2017,sf1,2017sf1,J,Moldova,Georgia,5,
41285,41285,2017,sf1,2017sf1,J,Moldova,Greece,7,
41286,41286,2017,sf1,2017sf1,J,Moldova,Iceland,2,
41287,41287,2017,sf1,2017sf1,J,Moldova,Latvia,0,
41288,41288,2017,sf1,2017sf1,J,Moldova,Moldova,0,x
41289,41289,2017,sf1,2017sf1,J,Moldova,Montenegro,0,
41290,41290,2017,sf1,2017sf1,J,Moldova,Poland,1,
41291,41291,2017,sf1,2017sf1,J,Moldova,Portugal,12,
41292,41292,2017,sf1,2017sf1,J,Moldova,Slovenia,0,
41293,41293,2017,sf1,2017sf1,J,Moldova,Sweden,8,
41294,41294,2017,sf1,2017sf1,J,Montenegro,Albania,10,
41295,41295,2017,sf1,2017sf1,J,Montenegro,Armenia,8,
41296,41296,2017,sf1,2017sf1,J,Montenegro,Australia,3,
41297,41297,2017,sf1,2017sf1,J,Montenegro,Azerbaijan,7,
41298,41298,2017,sf1,2017sf1,J,Montenegro,Belgium,0,
41299,41299,2017,sf1,2017sf1,J,Montenegro,Cyprus,0,
41300,41300,2017,sf1,2017sf1,J,Montenegro,Czech Republic,2,
41301,41301,2017,sf1,2017sf1,J,Montenegro,Finland,0,
41302,41302,2017,sf1,2017sf1,J,Montenegro,Georgia,0,
41303,41303,2017,sf1,2017sf1,J,Montenegro,Greece,12,
41304,41304,2017,sf1,2017sf1,J,Montenegro,Iceland,0,
41305,41305,2017,sf1,2017sf1,J,Montenegro,Latvia,0,
41306,41306,2017,sf1,2017sf1,J,Montenegro,Moldova,5,
41307,41307,2017,sf1,2017sf1,J,Montenegro,Montenegro,0,x
41308,41308,2017,sf1,2017sf1,J,Montenegro,Poland,0,
41309,41309,2017,sf1,2017sf1,J,Montenegro,Portugal,4,
41310,41310,2017,sf1,2017sf1,J,Montenegro,Slovenia,1,
41311,41311,2017,sf1,2017sf1,J,Montenegro,Sweden,6,
41312,41312,2017,sf1,2017sf1,J,Poland,Albania,0,
41313,41313,2017,sf1,2017sf1,J,Poland,Armenia,6,
41314,41314,2017,sf1,2017sf1,J,Poland,Australia,8,
41315,41315,2017,sf1,2017sf1,J,Poland,Azerbaijan,0,
41316,41316,2017,sf1,2017sf1,J,Poland,Belgium,7,
41317,41317,2017,sf1,2017sf1,J,Poland,Cyprus,0,
41318,41318,2017,sf1,2017sf1,J,Poland,Czech Republic,3,
41319,41319,2017,sf1,2017sf1,J,Poland,Finland,1,
41320,41320,2017,sf1,2017sf1,J,Poland,Georgia,10,
41321,41321,2017,sf1,2017sf1,J,Poland,Greece,2,
41322,41322,2017,sf1,2017sf1,J,Poland,Iceland,0,
41323,41323,2017,sf1,2017sf1,J,Poland,Latvia,0,
41324,41324,2017,sf1,2017sf1,J,Poland,Moldova,0,
41325,41325,2017,sf1,2017sf1,J,Poland,Montenegro,0,
41326,41326,2017,sf1,2017sf1,J,Poland,Poland,0,x
41327,41327,2017,sf1,2017sf1,J,Poland,Portugal,12,
41328,41328,2017,sf1,2017sf1,J,Poland,Slovenia,5,
41329,41329,2017,sf1,2017sf1,J,Poland,Sweden,4,
41330,41330,2017,sf1,2017sf1,J,Portugal,Albania,0,
41331,41331,2017,sf1,2017sf1,J,Portugal,Armenia,4,
41332,41332,2017,sf1,2017sf1,J,Portugal,Australia,6,
41333,41333,2017,sf1,2017sf1,J,Portugal,Azerbaijan,8,
41334,41334,2017,sf1,2017sf1,J,Portugal,Belgium,0,
41335,41335,2017,sf1,2017sf1,J,Portugal,Cyprus,0,
41336,41336,2017,sf1,2017sf1,J,Portugal,Czech Republic,12,
41337,41337,2017,sf1,2017sf1,J,Portugal,Finland,7,
41338,41338,2017,sf1,2017sf1,J,Portugal,Georgia,3,
41339,41339,2017,sf1,2017sf1,J,Portugal,Greece,2,
41340,41340,2017,sf1,2017sf1,J,Portugal,Iceland,0,
41341,41341,2017,sf1,2017sf1,J,Portugal,Latvia,0,
41342,41342,2017,sf1,2017sf1,J,Portugal,Moldova,10,
41343,41343,2017,sf1,2017sf1,J,Portugal,Montenegro,0,
41344,41344,2017,sf1,2017sf1,J,Portugal,Poland,1,
41345,41345,2017,sf1,2017sf1,J,Portugal,Portugal,0,x
41346,41346,2017,sf1,2017sf1,J,Portugal,Slovenia,0,
41347,41347,2017,sf1,2017sf1,J,Portugal,Sweden,5,
41348,41348,2017,sf1,2017sf1,J,Slovenia,Albania,0,
41349,41349,2017,sf1,2017sf1,J,Slovenia,Armenia,1,
41350,41350,2017,sf1,2017sf1,J,Slovenia,Australia,12,
41351,41351,2017,sf1,2017sf1,J,Slovenia,Azerbaijan,3,
41352,41352,2017,sf1,2017sf1,J,Slovenia,Belgium,2,
41353,41353,2017,sf1,2017sf1,J,Slovenia,Cyprus,0,
41354,41354,2017,sf1,2017sf1,J,Slovenia,Czech Republic,10,
41355,41355,2017,sf1,2017sf1,J,Slovenia,Finland,6,
41356,41356,2017,sf1,2017sf1,J,Slovenia,Georgia,5,
41357,41357,2017,sf1,2017sf1,J,Slovenia,Greece,0,
41358,41358,2017,sf1,2017sf1,J,Slovenia,Iceland,0,
41359,41359,2017,sf1,2017sf1,J,Slovenia,Latvia,0,
41360,41360,2017,sf1,2017sf1,J,Slovenia,Moldova,0,
41361,41361,2017,sf1,2017sf1,J,Slovenia,Montenegro,0,
41362,41362,2017,sf1,2017sf1,J,Slovenia,Poland,4,
41363,41363,2017,sf1,2017sf1,J,Slovenia,Portugal,8,
41364,41364,2017,sf1,2017sf1,J,Slovenia,Slovenia,0,x
41365,41365,2017,sf1,2017sf1,J,Slovenia,Sweden,7,
41366,41366,2017,sf1,2017sf1,J,Spain,Albania,0,
41367,41367,2017,sf1,2017sf1,J,Spain,Armenia,0,
41368,41368,2017,sf1,2017sf1,J,Spain,Australia,8,
41369,41369,2017,sf1,2017sf1,J,Spain,Azerbaijan,5,
41370,41370,2017,sf1,2017sf1,J,Spain,Belgium,2,
41371,41371,2017,sf1,2017sf1,J,Spain,Cyprus,0,
41372,41372,2017,sf1,2017sf1,J,Spain,Czech Republic,10,
41373,41373,2017,sf1,2017sf1,J,Spain,Finland,0,
41374,41374,2017,sf1,2017sf1,J,Spain,Georgia,0,
41375,41375,2017,sf1,2017sf1,J,Spain,Greece,6,
41376,41376,2017,sf1,2017sf1,J,Spain,Iceland,1,
41377,41377,2017,sf1,2017sf1,J,Spain,Latvia,0,
41378,41378,2017,sf1,2017sf1,J,Spain,Moldova,7,
41379,41379,2017,sf1,2017sf1,J,Spain,Montenegro,0,
41380,41380,2017,sf1,2017sf1,J,Spain,Poland,0,
41381,41381,2017,sf1,2017sf1,J,Spain,Portugal,12,
41382,41382,2017,sf1,2017sf1,J,Spain,Slovenia,4,
41383,41383,2017,sf1,2017sf1,J,Spain,Sweden,3,
41384,41384,2017,sf1,2017sf1,J,Sweden,Albania,0,
41385,41385,2017,sf1,2017sf1,J,Sweden,Armenia,0,
41386,41386,2017,sf1,2017sf1,J,Sweden,Australia,12,
41387,41387,2017,sf1,2017sf1,J,Sweden,Azerbaijan,0,
41388,41388,2017,sf1,2017sf1,J,Sweden,Belgium,3,
41389,41389,2017,sf1,2017sf1,J,Sweden,Cyprus,8,
41390,41390,2017,sf1,2017sf1,J,Sweden,Czech Republic,4,
41391,41391,2017,sf1,2017sf1,J,Sweden,Finland,7,
41392,41392,2017,sf1,2017sf1,J,Sweden,Georgia,6,
41393,41393,2017,sf1,2017sf1,J,Sweden,Greece,0,
41394,41394,2017,sf1,2017sf1,J,Sweden,Iceland,2,
41395,41395,2017,sf1,2017sf1,J,Sweden,Latvia,0,
41396,41396,2017,sf1,2017sf1,J,Sweden,Moldova,10,
41397,41397,2017,sf1,2017sf1,J,Sweden,Montenegro,0,
41398,41398,2017,sf1,2017sf1,J,Sweden,Poland,0,
41399,41399,2017,sf1,2017sf1,J,Sweden,Portugal,5,
41400,41400,2017,sf1,2017sf1,J,Sweden,Slovenia,1,
41401,41401,2017,sf1,2017sf1,J,Sweden,Sweden,0,x
41402,41402,2017,sf1,2017sf1,J,United Kingdom,Albania,0,
41403,41403,2017,sf1,2017sf1,J,United Kingdom,Armenia,5,
41404,41404,2017,sf1,2017sf1,J,United Kingdom,Australia,7,
41405,41405,2017,sf1,2017sf1,J,United Kingdom,Azerbaijan,0,
41406,41406,2017,sf1,2017sf1,J,United Kingdom,Belgium,4,
41407,41407,2017,sf1,2017sf1,J,United Kingdom,Cyprus,3,
41408,41408,2017,sf1,2017sf1,J,United Kingdom,Czech Republic,8,
41409,41409,2017,sf1,2017sf1,J,United Kingdom,Finland,0,
41410,41410,2017,sf1,2017sf1,J,United Kingdom,Georgia,1,
41411,41411,2017,sf1,2017sf1,J,United Kingdom,Greece,0,
41412,41412,2017,sf1,2017sf1,J,United Kingdom,Iceland,0,
41413,41413,2017,sf1,2017sf1,J,United Kingdom,Latvia,0,
41414,41414,2017,sf1,2017sf1,J,United Kingdom,Moldova,12,
41415,41415,2017,sf1,2017sf1,J,United Kingdom,Montenegro,0,
41416,41416,2017,sf1,2017sf1,J,United Kingdom,Poland,6,
41417,41417,2017,sf1,2017sf1,J,United Kingdom,Portugal,10,
41418,41418,2017,sf1,2017sf1,J,United Kingdom,Slovenia,0,
41419,41419,2017,sf1,2017sf1,J,United Kingdom,Sweden,2,
41420,41420,2017,sf1,2017sf1,T,Albania,Albania,0,x
41421,41421,2017,sf1,2017sf1,T,Albania,Armenia,0,
41422,41422,2017,sf1,2017sf1,T,Albania,Australia,1,
41423,41423,2017,sf1,2017sf1,T,Albania,Azerbaijan,0,
41424,41424,2017,sf1,2017sf1,T,Albania,Belgium,8,
41425,41425,2017,sf1,2017sf1,T,Albania,Cyprus,3,
41426,41426,2017,sf1,2017sf1,T,Albania,Czech Republic,0,
41427,41427,2017,sf1,2017sf1,T,Albania,Finland,5,
41428,41428,2017,sf1,2017sf1,T,Albania,Georgia,0,
